,Index,District,Village,pH,EC,TDS,TH,Alkalinity,Calcium,Magnesium,Sodium,Potassium,Bicarbonate,Chloride,Sulphate,Fluoride,is_drinkable,WQI,WQC,Carbonate
0,0,0,298,1,1,1,1,60,1,1,1,1,1,1,1,0.27,1,19.03235114465789,0,1
1,1,0,440,1,1,1,1,85,1,1,1,1,1,1,1,0.12,1,15.589983985177376,0,1
2,2,0,1047,1,1,1,1,200,1,1,1,1,1,1,1,1.52,0,86.26457825793943,3,1
3,3,0,1103,1,1,1,1,145,1,1,1,1,1,1,1,0.31,1,31.93163510546489,1,1
4,4,0,654,1,1,1,0,125,1,1,1,1,1,1,1,0.15,1,18.93264206078896,0,1
5,5,0,1114,1,1,1,0,105,1,1,1,1,1,1,1,0.27,1,23.675539042569486,0,1
6,6,0,886,1,1,1,1,110,1,1,1,1,1,1,1,0.11,1,17.45810581274659,0,1
7,7,0,524,1,1,1,1,25,1,1,1,1,1,1,1,0.13,1,12.470001701114956,0,1
8,8,0,1081,1,0,0,0,245,1,1,1,1,1,1,1,1.59,0,88.1178276563929,3,1
9,9,0,220,1,0,0,0,425,0,0,0,0,0,0,1,0.94,0,74.91649714957103,2,1
10,10,0,120,1,1,1,0,125,1,1,1,1,1,1,1,0.23,1,26.787555466678672,1,1
11,11,0,1101,1,0,0,1,165,1,1,1,0,1,1,1,0.3,0,41.66247330509086,1,1
12,12,0,428,1,1,1,0,170,1,1,1,1,1,1,1,0.34,1,31.3697544167426,1,1
13,13,0,1142,1,1,1,0,90,1,1,1,1,1,1,1,0.18,1,22.234098452947755,0,1
14,14,0,1164,1,0,0,0,450,1,0,1,1,0,1,1,1.11,0,73.10760965893638,2,1
15,15,0,711,1,0,0,0,390,1,1,0,1,0,1,1,3.94,0,205.06708274636372,3,1
16,16,0,709,1,0,0,0,330,1,0,1,1,0,1,1,1.33,0,82.51307594133786,3,1
17,17,0,722,1,1,1,0,130,1,1,1,1,1,1,1,0.64,1,43.97910926111324,1,1
18,18,0,299,1,1,1,0,175,1,1,1,1,1,1,1,1.54,0,85.46918270342546,3,1
19,19,0,104,1,0,0,0,175,1,1,1,1,1,1,1,0.4,0,33.17856579592792,1,1
20,20,0,1051,1,0,0,0,75,1,1,1,1,1,1,1,0.84,1,53.23679193212976,2,1
21,21,0,696,1,1,1,0,120,1,1,1,1,1,1,1,0.35,1,30.865803711713948,1,1
22,22,0,859,1,0,0,0,110,1,1,1,1,1,1,1,0.34,1,30.367804333286067,1,1
23,23,0,896,1,1,1,0,270,1,1,1,1,1,1,1,0.82,0,57.338548000737056,2,1
24,24,0,712,1,0,0,0,350,0,0,0,1,0,0,1,1.48,0,95.4285881425212,3,1
25,25,0,1187,1,1,1,1,60,1,1,1,1,1,1,1,0.38,1,28.144048531875534,1,1
26,26,0,19,1,1,1,0,300,1,1,1,1,0,1,1,1.33,0,79.68441273464278,3,1
27,27,0,147,1,0,0,0,400,1,1,1,1,0,1,1,0.84,0,59.059332101511,2,1
28,28,0,1185,1,1,1,0,185,1,1,1,1,1,1,1,0.36,1,29.24144061792647,1,1
29,29,0,1195,1,1,1,1,190,1,1,1,1,1,1,1,0.44,1,32.708948176000014,1,1
30,30,0,557,1,0,0,0,420,1,0,1,0,0,1,1,1.13,0,80.99514701058058,3,1
31,31,0,1168,1,0,0,0,284,1,1,1,1,1,1,1,0.89,0,55.33647072992551,2,1
32,32,0,39,1,1,1,1,144,1,1,1,1,1,1,1,0.35,1,31.9013140051577,1,1
33,33,0,1180,1,1,1,0,189,1,1,1,1,1,1,1,0.4,1,32.72497003235515,1,1
34,34,0,145,1,1,1,0,154,1,1,1,1,1,1,1,0.97,1,56.78477635150186,2,1
35,35,0,480,1,1,1,1,129,1,1,1,1,1,1,1,0.38,1,29.79327976094948,1,1
36,36,0,397,1,0,0,0,340,0,0,1,1,0,1,1,0.67,0,49.24296317241805,1,1
37,37,0,892,1,0,0,0,285,1,0,1,1,1,1,1,1.36,0,80.43203747151482,3,1
38,38,0,27,1,0,0,0,205,1,1,1,1,1,1,1,0.55,0,38.87626010585408,1,1
39,39,0,510,1,1,1,0,195,1,1,1,1,1,1,1,0.18,1,22.275453576403127,0,1
40,40,0,941,1,1,1,0,175,1,1,1,1,1,1,1,0.51,1,38.74996517101583,1,1
41,41,0,1177,1,1,1,0,140,1,1,1,1,1,1,1,0.29,1,29.45532647113185,1,1
42,42,0,162,1,0,0,0,325,1,1,1,1,0,1,1,2.09,0,117.54385898917543,3,1
43,43,0,168,1,0,0,0,750,1,0,0,1,0,1,1,2.91,0,164.20500873625846,3,1
44,44,0,779,1,0,0,0,220,1,1,1,1,1,1,1,0.31,0,27.840248648660896,1,1
45,45,1,5,1,0,0,0,195,1,1,1,0,1,1,1,0.33,0,54.17008470476882,2,0
46,46,1,20,1,1,1,1,78,1,1,1,0,1,1,1,0.4,0,44.80071986033308,1,1
47,47,1,37,1,1,1,1,102,1,1,1,0,1,1,1,0.38,0,47.05466337595744,1,1
48,48,1,114,1,0,0,0,122,0,0,1,1,1,0,1,0.55,0,44.27902519603157,1,1
49,49,1,142,1,1,1,0,249,1,1,1,1,1,1,1,1.27,0,77.06869218225877,3,0
50,50,1,151,1,0,0,0,195,1,0,1,1,1,1,1,2.01,0,113.15121425924936,3,1
51,51,1,157,1,1,1,0,185,1,1,1,0,1,1,1,0.68,0,60.18363194835405,2,0
52,52,1,158,1,1,1,0,205,1,1,1,1,1,1,1,1.55,0,89.65795722700715,3,0
53,53,1,1203,1,1,1,0,171,1,1,1,1,1,1,1,1.06,1,65.27060255416326,2,0
54,54,1,191,1,1,1,0,219,1,1,1,1,1,1,1,1.51,0,86.54149351948796,3,1
55,55,1,232,1,0,0,0,146,1,0,1,1,1,1,1,0.62,0,49.58108814464402,1,1
56,56,1,248,1,0,0,0,278,1,1,1,1,1,1,1,1.71,0,98.36720476810348,3,0
57,57,1,250,1,1,1,1,98,1,1,1,1,1,1,1,0.41,1,33.50311623879806,1,1
58,58,1,305,1,1,1,0,229,1,1,1,1,1,1,1,0.8,0,49.31229852331335,1,1
59,59,1,314,1,1,1,1,132,1,1,1,1,1,1,1,0.43,1,41.07739924432002,1,1
60,60,1,318,1,0,0,0,215,1,1,1,0,1,1,1,0.51,0,56.02212721735805,2,0
61,61,1,356,1,0,0,0,185,1,1,1,0,1,1,1,0.37,0,58.644246806588335,2,0
62,62,1,372,1,0,0,0,185,1,1,1,0,1,1,1,0.32,0,61.33889682836882,2,0
63,63,1,373,1,0,0,0,229,1,1,1,0,1,1,1,0.33,0,56.590338487909776,2,0
64,64,1,382,1,0,0,0,137,1,1,1,0,1,0,1,0.27,0,48.46358561066206,1,1
65,65,1,383,1,0,0,0,141,1,0,1,0,1,0,1,0.29,0,85.04957108410272,3,1
66,66,1,386,1,1,1,1,98,1,1,1,0,1,1,1,0.49,0,46.63137379609322,1,1
67,67,1,387,1,1,1,1,88,1,1,1,0,1,1,1,0.34,0,40.29471734460768,1,1
68,68,1,389,1,1,1,1,102,1,1,1,0,1,1,1,0.3,0,36.22039881663539,1,1
69,69,1,391,1,0,0,0,195,1,1,1,1,1,1,1,0.81,0,54.49569654713291,2,1
70,70,1,402,1,0,0,0,132,1,1,1,0,1,1,1,0.41,0,46.00638335601959,1,1
71,71,1,403,1,1,1,0,161,1,1,1,1,1,1,1,0.66,1,48.56403341997415,1,0
72,72,1,404,1,1,1,0,141,1,1,1,1,1,1,1,0.57,1,38.48225454057584,1,1
73,73,1,411,1,0,0,0,122,1,1,1,0,1,1,1,0.52,0,50.99614370543596,2,1
74,74,1,467,1,0,0,0,293,1,1,1,1,0,1,1,0.91,0,60.795194180431984,2,1
75,75,1,478,1,0,0,0,312,1,1,1,0,0,1,1,0.31,0,164.06255129880552,3,1
76,76,1,482,1,1,1,0,141,1,1,1,1,1,1,1,0.44,1,35.064464954059986,1,1
77,77,1,489,1,1,1,0,195,1,1,1,1,1,1,1,0.82,1,54.777070697035406,2,0
78,78,1,504,1,1,1,0,146,1,1,1,1,1,1,1,0.49,1,37.33366991916449,1,1
79,79,1,515,1,1,1,0,190,1,1,1,1,1,1,1,0.83,1,54.59936635590891,2,1
80,80,1,535,1,0,0,0,258,1,1,1,0,1,0,1,0.46,0,225.78880953654664,3,1
81,81,1,553,1,1,1,0,161,1,1,1,1,1,1,1,0.53,1,38.89257396807283,1,1
82,82,1,565,1,1,1,1,151,1,1,1,1,1,1,1,0.65,1,43.25192434029433,1,1
83,83,1,567,1,1,1,0,166,1,1,1,1,1,1,1,0.91,1,56.599895994228106,2,1
84,84,1,568,1,1,1,0,249,1,1,1,1,1,1,1,2.41,0,132.0473759523484,3,0
85,85,1,577,1,1,1,0,176,1,1,1,1,1,1,1,1.66,0,91.80872414397264,3,1
86,86,1,608,1,1,1,0,239,1,1,1,1,1,1,1,2.49,0,132.89505364739142,3,1
87,87,2,44,0,0,0,0,204,1,1,1,0,1,1,1,0.28,0,103.73280042581654,3,0
88,88,2,79,1,0,0,0,181,1,1,1,0,1,1,1,0.39,0,52.197181696908864,2,1
89,89,2,107,1,1,1,0,147,1,1,1,1,1,1,1,0.56,1,45.52541506780261,1,1
90,90,2,161,1,0,0,0,276,1,1,1,0,1,1,1,0.66,0,122.74815712075116,3,0
91,91,2,175,1,0,0,0,90,1,0,1,0,1,0,1,0.31,0,63.64316611741317,2,1
92,92,2,201,1,0,0,0,195,1,1,1,0,1,1,1,0.27,0,65.57973444208669,2,1
93,93,2,206,1,1,1,1,29,1,1,1,1,1,1,1,0.16,1,16.924670851239622,0,1
94,94,2,611,1,1,1,0,176,1,1,1,1,1,1,1,0.57,1,46.4973580212948,1,1
95,95,2,408,1,1,1,1,143,1,1,1,1,1,1,1,0.38,1,36.82976502535965,1,0
96,96,2,462,1,1,1,0,90,1,1,1,1,1,1,1,0.32,1,25.76550414848441,1,1
97,97,2,562,1,1,1,0,143,1,1,1,0,1,1,1,0.24,0,40.801208371863176,1,0
98,98,2,531,0,1,1,0,252,1,1,1,0,1,1,1,0.53,0,60.58318664401155,2,0
99,99,2,606,1,1,1,0,119,1,1,1,0,1,1,1,0.2,0,39.80288910740151,1,1
100,100,2,715,1,1,1,0,181,1,1,1,0,1,1,1,0.86,0,69.64731010136778,2,0
101,101,2,723,1,1,1,1,33,1,1,1,1,1,1,1,0.16,1,15.529246256061114,0,1
102,102,2,728,0,1,1,0,157,1,1,1,1,1,1,1,0.35,0,34.4389683969072,1,0
103,103,2,806,1,1,1,1,43,1,1,1,1,1,1,1,0.15,1,18.87398388101592,0,1
104,104,2,818,1,1,1,1,33,1,1,1,1,1,1,1,0.12,1,15.83995376986603,0,1
105,105,2,853,1,0,0,0,233,1,1,1,0,1,1,1,0.28,0,97.85902261746963,3,1
106,106,2,985,1,1,1,1,24,1,1,1,1,1,1,1,0.13,1,15.816387185651088,0,1
107,107,2,1020,0,0,0,0,261,0,1,1,0,1,1,1,0.2,0,91.82373130365696,3,0
108,108,2,1089,1,0,0,0,266,1,1,1,0,1,1,1,0.66,0,102.20485631522652,3,0
109,109,2,647,0,0,0,0,257,1,1,1,0,1,1,1,0.43,0,129.6714370062415,3,0
110,110,2,225,1,1,1,1,38,1,1,1,1,1,1,1,0.15,1,16.3521491931592,0,1
111,111,2,1178,1,1,1,1,29,1,1,1,1,1,1,1,0.14,1,14.65596925765438,0,1
112,112,2,1132,0,1,1,0,195,0,1,1,0,1,1,1,0.19,0,36.82599053149795,1,0
113,113,3,40,1,0,0,0,322,0,1,0,0,0,0,1,1.13,0,101.69860175993222,3,1
114,114,3,103,1,0,0,0,238,1,0,1,1,1,1,1,1.22,0,72.24157394741036,2,1
115,115,3,167,1,0,0,0,252,0,1,1,1,1,1,1,0.74,0,44.98603250176835,1,1
116,116,3,177,1,1,1,1,79,1,1,1,0,1,1,1,0.23,0,25.24023700125985,1,1
117,117,3,212,1,1,1,0,149,1,1,1,1,1,1,1,0.29,1,21.78301435305127,0,1
118,118,3,214,1,0,0,0,144,0,1,1,1,1,0,1,0.73,0,43.35044936607286,1,1
119,119,3,224,1,1,1,0,168,1,1,1,1,1,1,1,0.67,1,43.92061196548973,1,1
120,120,3,235,1,1,1,1,149,1,1,1,1,1,1,1,1.1,1,59.51159912730824,2,1
121,121,3,246,1,1,1,1,119,1,1,1,1,1,1,1,0.34,1,23.030118056245485,0,1
122,122,3,264,1,1,1,0,203,1,1,1,1,1,1,1,0.38,0,28.407201900833204,1,1
123,123,3,266,1,1,1,0,163,1,1,1,1,1,1,1,0.38,1,21.409502821558146,0,1
124,124,3,267,1,0,0,0,327,1,1,1,1,0,1,1,1.79,0,103.03130841214082,3,1
125,125,3,276,1,1,1,0,153,1,1,1,1,1,1,1,0.55,1,32.14277183236688,1,1
126,126,3,278,1,1,1,1,109,1,1,1,1,1,1,1,0.36,1,24.024596551293712,0,1
127,127,3,317,1,1,1,0,163,1,1,1,1,1,1,1,0.32,1,26.677941393334866,1,1
128,128,3,332,1,1,1,0,144,1,1,1,1,1,1,1,0.82,1,45.71178486302062,1,1
129,129,3,388,1,1,1,0,144,1,1,1,1,1,1,1,0.48,1,30.862573135913426,1,1
130,130,3,393,1,1,1,0,168,1,1,1,1,1,1,1,0.44,1,28.751119424213638,1,1
131,131,3,412,1,0,0,0,248,1,0,0,1,1,0,1,0.8,0,56.1374143675433,2,1
132,132,3,434,1,0,0,0,248,1,0,0,0,1,0,1,0.64,0,64.67081021189779,2,1
133,133,3,450,1,1,1,1,124,1,1,1,1,1,1,1,0.38,1,33.387623157467495,1,1
134,134,3,455,1,1,1,1,104,1,1,1,1,1,1,1,0.43,1,30.59399645115155,1,1
135,135,3,464,1,0,0,0,297,1,1,0,0,0,0,1,0.82,0,222.65775852772325,3,1
136,136,3,507,1,0,0,0,262,0,0,1,0,1,0,1,3.54,0,204.8788206801233,3,1
137,137,3,534,1,1,1,1,129,1,1,1,1,1,1,1,0.33,1,27.986491137643977,1,1
138,138,3,588,1,1,1,1,178,1,1,1,0,1,1,1,0.31,0,39.42903007859944,1,1
139,139,3,607,1,0,0,0,272,1,1,1,1,1,1,1,0.62,0,42.10120876812955,1,1
140,140,3,621,1,1,1,1,50,1,1,1,1,1,1,1,0.25,1,17.28021337246181,0,1
141,141,3,661,1,0,0,0,257,0,1,1,1,1,0,1,0.28,0,23.728868118869727,0,1
142,142,3,661,1,0,0,0,248,1,1,1,0,1,0,1,0.32,0,215.1332867578815,3,1
143,143,3,661,1,0,0,0,213,1,1,1,1,1,1,1,3.08,0,165.5452661876938,3,1
144,144,3,669,1,0,0,0,213,1,1,1,0,1,1,1,1.0,0,110.13015427216196,3,1
145,145,3,674,1,0,0,0,158,1,1,1,1,1,1,1,0.38,1,28.813501036095055,1,1
146,146,3,1205,1,1,1,0,149,1,1,1,0,1,1,1,0.34,0,35.827659704549454,1,1
147,147,3,1206,1,0,0,0,163,1,1,1,1,1,1,1,0.54,0,35.63464562605418,1,1
148,148,3,1208,1,1,1,0,188,1,1,1,0,1,1,1,0.46,0,41.93063072587227,1,1
149,149,3,732,1,1,0,0,153,0,1,1,1,1,0,1,0.61,0,43.55403907243099,1,1
150,150,3,1207,1,1,1,1,104,1,1,1,1,1,1,1,0.38,1,27.556656963801355,1,1
151,151,3,679,1,1,1,1,84,1,1,1,1,1,1,1,0.27,1,20.98502175360893,0,1
152,152,3,738,1,1,1,1,109,1,1,1,0,1,1,1,0.3,0,36.22082795897058,1,1
153,153,3,742,1,1,1,1,114,1,1,1,1,1,1,1,0.18,1,17.35277794053004,0,1
154,154,3,744,1,1,1,0,178,1,1,1,1,1,1,1,0.51,1,32.883122123353765,1,1
155,155,3,754,1,0,0,0,262,1,1,1,1,1,1,1,0.9,0,53.017107640383735,2,1
156,156,3,909,1,0,0,0,173,1,1,1,1,1,1,1,0.49,0,38.64991191564508,1,1
157,157,3,950,1,1,1,1,109,1,1,1,1,1,1,1,0.41,1,32.994817826439295,1,1
158,158,3,942,1,0,0,0,183,1,1,1,0,1,1,1,0.28,0,84.53323487529073,3,1
159,159,3,1017,1,1,1,0,183,1,1,1,1,1,1,1,0.9,1,54.50979908728532,2,1
160,160,3,1018,1,1,1,0,144,1,1,1,1,1,1,1,0.48,1,32.79308099090371,1,1
161,161,3,1024,1,1,1,1,114,1,1,1,1,1,1,1,0.36,1,23.4937800189472,0,1
162,162,3,1025,1,0,0,0,149,1,1,1,1,1,1,1,0.65,0,43.77012598723401,1,1
163,163,3,1031,1,1,1,0,238,1,1,1,1,1,1,1,1.21,0,68.05177830198157,2,1
164,164,3,1061,1,1,1,0,203,1,1,1,1,1,1,1,0.32,0,32.75978248655455,1,1
165,165,3,1077,1,1,1,1,84,1,1,1,1,1,1,1,0.66,1,39.581377192662174,1,1
166,166,3,1087,1,0,0,0,158,0,0,1,1,1,0,1,0.28,0,34.29414996191598,1,1
167,167,3,1093,1,1,1,1,94,1,1,1,1,1,1,1,0.33,1,23.919748189699508,0,1
168,168,3,1128,1,0,0,0,218,1,0,1,1,1,1,1,0.27,0,26.5137470750588,1,1
169,169,3,1129,1,1,1,1,163,1,1,1,1,1,1,1,0.21,1,19.228379069549565,0,1
170,170,3,1062,1,0,0,0,183,0,0,1,1,1,0,1,0.45,0,40.11145617421229,1,1
171,171,3,1172,1,1,1,0,153,1,1,1,1,1,1,1,0.28,1,26.05532683909349,1,1
172,172,3,1184,1,1,1,1,124,1,1,1,1,1,1,1,0.48,1,28.462498878424636,1,1
173,173,3,1201,1,0,0,0,282,1,1,1,0,1,1,1,0.42,0,67.26671836527666,2,1
174,174,3,498,1,1,1,0,337,1,1,1,1,0,1,1,0.87,0,55.761214366807366,2,1
175,175,3,529,1,0,0,0,337,1,0,1,1,0,1,1,0.41,0,39.43297800976344,1,1
176,176,3,785,1,0,0,0,351,0,0,1,0,0,0,1,0.4,0,83.87348489673158,3,1
177,177,3,787,1,0,0,0,351,0,1,1,1,0,1,1,0.27,0,31.899480367406863,1,1
178,178,3,817,1,1,1,0,337,1,1,1,1,0,1,1,0.9,0,57.410767180199606,2,1
179,179,3,940,1,0,0,0,406,1,0,1,1,0,1,1,0.47,0,45.20191766037537,1,1
180,180,3,863,1,0,0,0,262,1,0,1,1,1,1,1,0.34,0,33.15256000817441,1,1
181,181,4,3,1,1,1,1,105,1,1,1,1,1,1,1,0.42,1,32.12690477464189,1,1
182,182,4,6,1,0,0,0,257,1,1,1,0,1,1,1,0.08,0,134.63252238834278,3,1
183,183,4,99,1,1,1,0,95,1,1,1,1,1,1,1,0.62,1,40.78974179565845,1,1
184,184,4,138,1,1,1,1,100,1,1,1,1,1,1,1,0.72,1,46.8935642943614,1,1
185,185,4,193,1,1,1,1,90,1,1,1,1,1,1,1,0.57,1,39.10693320392405,1,1
186,186,4,194,0,0,0,0,323,1,1,1,0,0,1,1,0.1,0,175.730055035739,3,0
187,187,4,196,1,1,1,1,67,1,1,1,1,1,1,1,0.18,1,26.88996495023885,1,0
188,188,4,202,1,1,1,1,124,1,1,1,1,1,1,1,0.27,1,29.65249807740045,1,0
189,189,4,229,1,1,0,0,166,1,1,1,0,1,1,1,0.23,0,44.19550014053305,1,0
190,190,4,396,1,0,0,0,290,1,1,1,0,1,1,1,0.19,0,98.10083838643727,3,0
191,191,4,540,1,1,1,0,86,1,1,1,1,1,1,1,0.73,1,55.238803592550994,2,1
192,192,4,698,1,0,0,0,323,1,1,1,0,0,1,1,0.11,0,99.67930203055384,3,0
193,193,4,997,1,1,1,0,119,1,1,1,1,1,1,1,0.45,1,42.13708649957245,1,1
194,194,4,1004,1,1,1,1,171,1,1,1,1,1,1,1,0.45,1,41.98926565330032,1,1
195,195,4,1174,1,0,0,0,261,1,0,0,0,1,0,1,0.26,0,58.58704813249565,2,0
196,196,4,357,0,0,0,0,280,1,0,1,1,1,1,1,1.57,0,98.05004432522487,3,0
197,197,4,370,1,0,1,0,157,1,1,1,0,1,1,1,0.94,0,70.92693477766767,2,1
198,198,4,801,1,1,1,1,105,1,1,1,1,1,1,1,0.29,1,30.90403128862713,1,1
199,199,4,638,1,0,0,0,81,0,0,0,1,1,0,1,0.14,0,46.84847267615952,1,1
200,200,4,997,0,0,0,0,409,0,1,1,0,0,1,1,0.2,0,174.77889674911555,3,0
201,201,4,1033,1,1,1,0,157,1,1,1,1,1,1,1,0.89,1,63.26506518440397,2,0
202,202,5,4,1,1,1,1,138,1,1,1,1,1,1,1,0.19,1,18.803726489020452,0,1
203,203,5,29,1,0,0,0,223,0,1,1,1,1,1,1,0.2,0,21.118986622330127,0,1
204,204,5,42,1,1,1,1,102,1,1,1,1,1,1,1,0.29,1,22.725029995949598,0,1
205,205,5,105,1,1,1,0,295,1,1,1,1,0,1,1,0.68,0,43.23464830085224,1,1
206,206,5,118,1,0,0,0,376,0,1,1,0,0,1,1,0.25,0,84.87148837934694,3,1
207,207,5,245,1,1,1,0,228,1,1,1,1,1,1,1,0.95,0,57.90056074522988,2,1
208,208,5,254,1,0,0,0,362,1,0,1,1,0,1,1,0.54,0,42.75985096987612,1,1
209,209,5,260,1,0,0,0,377,1,1,1,1,0,1,1,0.91,0,59.12572910890732,2,1
210,210,5,270,1,1,1,1,168,1,1,1,1,1,1,1,0.98,1,56.689029237948624,2,1
211,211,5,321,1,1,1,0,179,1,1,1,1,1,1,1,0.28,1,29.61786525924172,1,1
212,212,5,371,1,0,0,0,332,1,0,1,1,0,1,1,0.49,0,41.09811170579373,1,1
213,213,5,400,1,0,0,0,291,1,1,1,1,0,1,1,1.4,0,78.67838280577543,3,1
214,214,5,426,1,0,1,0,342,1,0,1,1,0,1,1,1.3,0,77.45082546532288,3,1
215,215,5,442,1,0,0,0,326,0,1,1,0,0,1,1,0.29,0,86.26075299952421,3,1
216,216,5,468,1,1,1,0,209,1,1,1,1,1,1,1,1.1,0,65.05748968929038,2,1
217,217,5,474,1,0,0,0,280,1,1,1,1,1,1,1,0.48,0,38.90297042692325,1,1
218,218,5,482,1,0,0,0,342,1,0,1,1,0,1,1,0.52,0,41.13805934768328,1,1
219,219,5,483,1,0,1,0,311,1,0,1,1,0,1,1,1.2,0,74.2572901974737,2,1
220,220,5,516,1,1,1,0,158,1,1,1,1,1,1,1,0.29,1,31.201021121847106,1,1
221,221,5,595,1,0,0,0,393,1,0,1,1,0,1,1,1.4,0,81.58815673014571,3,1
222,222,5,609,1,1,1,1,147,1,1,1,1,1,1,1,0.34,1,26.537747783243425,1,1
223,223,5,623,1,1,1,1,121,1,1,1,1,1,1,1,0.2,1,18.778183639463265,0,1
224,224,5,650,1,0,0,0,323,1,0,1,1,0,1,1,0.83,0,61.35138541802,2,1
225,225,5,664,1,0,0,0,332,0,1,1,1,0,1,1,0.34,0,40.1320058551188,1,1
226,226,5,740,1,0,0,0,282,1,0,1,1,1,1,1,0.14,0,26.72258607967161,1,1
227,227,5,750,1,1,1,0,321,0,1,1,1,0,1,1,0.19,0,22.150495729239108,0,1
228,228,5,762,1,1,1,0,126,1,1,1,1,1,1,1,0.43,1,29.861088325794373,1,1
229,229,5,763,1,1,1,0,290,1,1,1,1,0,1,1,1.26,0,75.74851325100617,3,1
230,230,5,777,1,0,0,0,286,0,1,1,0,1,1,1,0.28,0,96.154660800226,3,1
231,231,5,793,1,1,1,1,94,1,1,1,1,1,1,1,0.32,1,26.499519979892312,1,1
232,232,5,869,1,1,1,0,237,1,1,1,1,1,1,1,1.2,0,73.62158896024516,2,1
233,233,5,870,1,1,1,0,145,1,1,1,1,1,1,1,0.29,1,34.33131095956753,1,1
234,234,5,885,1,0,0,0,158,0,0,1,1,1,0,1,0.27,0,36.79321061246648,1,1
235,235,5,938,1,1,1,0,158,1,1,1,1,1,1,1,0.29,1,35.20629721053945,1,1
236,236,5,945,1,0,0,0,248,1,0,1,1,1,1,1,0.13,0,24.08483416393597,0,1
237,237,5,982,1,1,1,0,168,1,0,1,1,1,1,1,0.4,0,32.70970512969658,1,1
238,238,5,996,1,0,0,0,245,0,0,1,1,1,1,1,0.37,0,36.45629343185649,1,1
239,239,5,1038,1,0,0,0,143,0,0,1,1,1,0,1,0.27,0,35.60307038511716,1,1
240,240,5,1054,1,0,0,0,260,0,1,1,1,1,0,1,0.3,0,41.55698089741315,1,1
241,241,5,1071,1,0,0,0,321,1,0,1,1,0,1,1,0.14,0,26.21939109708328,1,1
242,242,5,1072,1,1,1,0,275,0,1,1,1,1,1,1,0.86,0,57.858334769798965,2,1
243,243,5,1099,1,1,1,0,199,1,1,1,1,1,1,1,1.14,1,68.91362287385397,2,1
244,244,5,1179,1,0,0,0,352,0,0,1,1,0,1,1,0.16,0,27.908868314172448,1,1
245,245,5,1194,1,1,1,0,311,1,1,1,1,0,1,1,0.88,0,59.68938301891011,2,1
246,246,5,1200,1,1,1,0,164,1,1,1,1,1,1,1,0.47,1,34.624959573753245,1,1
247,247,5,1200,1,1,1,0,173,1,1,1,1,1,1,1,0.44,0,38.09319312013636,1,1
248,248,5,156,1,1,1,0,188,1,1,1,1,1,1,1,0.23,1,23.703263069643537,0,1
249,249,6,810,1,1,1,0,125,1,1,1,1,1,1,1,0.33,1,22.183787567821703,0,1
250,250,6,991,1,1,1,1,40,1,1,1,1,1,1,1,0.09,1,13.805738630622274,0,1
251,251,6,981,1,1,1,1,35,1,1,1,1,1,1,1,0.1,1,6.812470191569322,0,1
